name,#,wpm,accuracy,raw,date,consistency
hijohnsies,1404,189.51,97.94%,194.30,91.81%,04 Dec 2023,01:36
levitations,1405,189.50,100.00%,189.50,86.89%,26 Aug 2023,03:13
atrieu9,1406,189.50,100.00%,189.50,90.42%,03 Nov 2020,00:01
aditinimishakavi,1407,189.50,99.58%,189.50,86.61%,05 Oct 2023,18:59
OHYEAH,1408,189.50,98.76%,192.70,85.90%,23 Jan 2021,09:08
xrdfcgvhjbkn,1409,189.49,96.47%,203.88,90.39%,26 Oct 2023,15:17
mishtercandy,1410,189.47,100.00%,189.47,88.63%,15 Jun 2023,23:34
acediaow,1411,189.47,100.00%,189.47,90.99%,15 May 2023,00:31
majesticjojo,1412,189.47,100.00%,189.47,89.11%,02 May 2023,21:27
lotusbox,1413,189.47,100.00%,189.47,88.63%,14 Feb 2023,10:48
XXNewEraXX,1414,189.47,100.00%,189.47,87.30%,29 Jan 2023,13:24
x_onion_x,1415,189.47,100.00%,189.47,92.99%,09 Dec 2022,12:35
skillpush,1416,189.47,100.00%,189.47,90.14%,17 Nov 2022,09:32
Roka,1417,189.47,100.00%,189.47,86.68%,28 Sep 2022,14:36
DONKEY3,1418,189.47,100.00%,189.47,88.17%,11 Sep 2022,14:37
billyborm,1419,189.47,100.00%,189.47,91.29%,06 Mar 2022,21:01
Rooster,1420,189.47,100.00%,189.47,89.61%,02 Nov 2021,13:21
renshua0,1421,189.47,100.00%,189.47,87.95%,03 Oct 2021,21:55
eddyzow,1422,189.47,99.16%,189.47,89.38%,18 Jul 2023,22:07
Scitus,1423,189.47,98.77%,194.27,88.46%,25 Jun 2023,18:27
jfiewogh,1424,189.47,97.93%,193.47,90.43%,06 Dec 2021,02:28
coreyx3,1425,189.47,96.84%,202.27,91.65%,30 Sep 2022,15:38
_aar0n.exe,1426,189.43,99.58%,189.43,85.47%,14 Dec 2023,13:00
Kqog,1427,189.41,100.00%,189.41,90.70%,28 Sep 2023,16:47
bag_bag,1428,189.41,94.05%,189.41,90.48%,16 Nov 2023,22:42
sylvietht,1429,189.35,100.00%,189.35,93.38%,06 Dec 2022,11:55
delt13,1430,189.22,97.58%,198.00,87.93%,03 Feb 2023,23:26
DPYT,1431,189.20,97.93%,189.20,84.18%,03 Nov 2023,10:07
H4ndss,1432,188.80,100.00%,188.80,84.52%,04 Dec 2023,19:44
canata,1433,188.80,100.00%,188.80,91.81%,30 Jun 2023,22:53
seanamander,1434,188.80,100.00%,188.80,91.17%,13 Jun 2023,16:51
coen,1435,188.80,100.00%,188.80,93.25%,06 Jun 2023,15:21
ImARealAlt,1436,188.80,100.00%,188.80,90.30%,01 Jun 2023,10:15
IrenicPlus,1437,188.80,100.00%,188.80,91.17%,22 May 2023,19:43
elarria,1438,188.80,100.00%,188.80,90.03%,22 May 2023,07:57
jinhui,1439,188.80,100.00%,188.80,92.14%,04 Apr 2023,00:12
CowloversFTW,1440,188.80,100.00%,188.80,90.30%,03 Mar 2023,10:58
_Nobody_,1441,188.80,100.00%,188.80,87.84%,17 Jan 2023,12:27
Zkresh,1442,188.80,100.00%,188.80,89.50%,05 Oct 2022,23:59
RomanJay,1443,188.80,100.00%,188.80,90.03%,10 Aug 2022,21:23
spokYash,1444,188.80,100.00%,188.80,86.98%,09 Jun 2021,15:33
SwamiRohan,1445,188.80,99.17%,192.80,89.23%,14 Jul 2023,15:53
typingtrash,1446,188.80,98.76%,192.80,91.98%,09 Jun 2023,19:12
tylus,1447,188.80,98.76%,192.80,89.97%,20 Feb 2023,08:09
bobsaget,1448,188.80,98.76%,193.60,89.91%,18 Oct 2022,04:05
cattermelon,1449,188.80,98.76%,193.60,90.98%,28 May 2022,00:44
henriblob,1450,188.80,98.34%,192.80,89.47%,24 Feb 2023,02:36
henriblob,1450,188.80,98.34%,192.80,89.47%,24 Feb 2023,02:36
BatCakes,1451,188.80,97.62%,201.60,93.06%,18 Jun 2022,17:59
akkierraw,1452,188.80,97.12%,193.60,84.35%,06 Sep 2021,15:01
Kelsier,1453,188.79,100.00%,188.79,91.48%,25 Mar 2021,10:36
yokew,1454,188.78,98.77%,194.38,90.65%,14 Nov 2023,21:31
Ei.,1455,188.78,94.59%,207.18,87.58%,21 Oct 2023,15:52
jichu,1456,188.77,100.00%,188.77,90.87%,20 Aug 2023,03:59
ThatHeathen,1457,188.77,99.58%,191.97,89.79%,15 Nov 2023,14:04
RacismPrime,1458,188.77,96.40%,199.97,91.06%,31 Jul 2021,23:23
NajiKhan,1459,188.76,100.00%,188.76,88.76%,18 Nov 2023,07:09
wingding,1460,188.76,100.00%,188.76,92.14%,21 May 2021,11:18
Zaruhev,1461,188.76,99.58%,188.76,90.99%,12 Dec 2023,21:28
LinesGuy,1462,188.76,98.77%,195.16,88.45%,24 Sep 2023,05:23
bruna_fast,1463,188.76,97.12%,188.76,88.09%,16 Nov 2020,19:17
FxL7x,1464,188.76,92.91%,188.76,87.34%,14 Aug 2023,21:39
PigRank,1465,188.75,98.77%,194.35,88.69%,30 Nov 2023,10:09
alegs,1466,188.75,98.76%,193.54,93.65%,03 Jan 2021,22:30
Matrarity,1467,188.75,97.93%,193.54,92.89%,27 Nov 2023,05:19
Kimie,1468,188.74,100.00%,188.74,88.76%,06 Oct 2023,13:19
comperion,1469,188.74,100.00%,188.74,89.00%,30 Mar 2021,16:15
swollen,1470,188.74,95.69%,203.93,91.68%,10 Jun 2021,01:36
hi_alex,1471,188.73,100.00%,188.73,94.10%,19 Mar 2021,03:27
sakuu,1472,188.72,100.00%,188.72,88.29%,07 Apr 2021,08:34
1234qwer,1473,188.71,97.21%,200.71,88.56%,07 Nov 2023,15:32
ToasterBoii,1474,188.68,100.00%,188.68,89.00%,04 Oct 2023,15:30
numbyilia,1475,188.67,100.00%,188.67,85.98%,18 May 2023,12:55
lichennn,1476,188.67,100.00%,188.67,91.81%,23 Apr 2023,20:37
mzakm,1477,188.67,100.00%,188.67,93.25%,16 Feb 2023,12:33
driftt,1478,188.67,100.00%,188.67,89.76%,15 Mar 2022,03:09
Wirecize,1479,188.67,100.00%,188.67,91.48%,30 Jan 2022,19:27
ngzq,1480,188.67,100.00%,188.67,94.57%,27 Sep 2021,03:28
lado,1481,188.67,99.59%,192.67,91.66%,30 Oct 2021,17:30
Joeyboblingus,1482,188.67,99.58%,188.67,88.40%,27 Feb 2023,14:57
NoobishSVK,1483,188.67,98.76%,193.47,91.27%,07 Mar 2023,12:52
Tiew,1484,188.67,98.76%,192.67,91.36%,28 May 2022,23:29
Ling_Ling,1485,188.67,97.58%,198.27,86.77%,03 Feb 2022,00:03
ystaggl,1486,188.67,97.17%,196.67,84.50%,21 Apr 2023,03:56
BoBoBob,1487,188.67,96.80%,199.87,90.28%,25 Dec 2022,23:29
KindYeet,1488,188.67,96.37%,198.27,84.88%,25 May 2023,13:26
CamK06,1489,188.67,94.64%,207.86,89.34%,15 Nov 2022,16:58
kail,1490,188.63,100.00%,188.63,93.25%,18 Jun 2021,17:36
Handsa,1491,188.62,100.00%,188.62,89.25%,19 Nov 2023,08:16
Jason....,1492,188.62,95.29%,203.80,82.68%,16 Oct 2023,13:38
Nerx,1493,188.60,100.00%,188.60,92.49%,16 Nov 2023,23:51
299,1494,188.60,99.16%,188.60,82.03%,03 Sep 2023,23:56
LeBrownMamba,1495,188.55,100.00%,188.55,81.95%,27 Aug 2022,21:56
AloeVeraaaaaaaaa,1496,188.55,98.76%,192.55,91.36%,06 Oct 2023,12:37
G-Pioneer,1497,188.42,100.00%,188.42,93.66%,07 Aug 2022,10:18
chaosifer,1498,188.24,97.98%,197.01,89.87%,28 Apr 2021,19:33
g.aludino,1499,188.00,100.00%,188.00,91.38%,22 Jul 2023,23:16
cooki522,1500,188.00,100.00%,188.00,88.19%,09 Jul 2023,00:54
cooki522,1500,188.00,100.00%,188.00,88.19%,09 Jul 2023,00:54
SilverMium,1501,188.00,100.00%,188.00,96.19%,11 Jun 2023,13:38
Steinbitr,1502,188.00,100.00%,188.00,89.15%,23 May 2023,10:45
jsalx,1503,188.00,100.00%,188.00,91.38%,15 Apr 2023,16:27
kq,1504,188.00,100.00%,188.00,90.48%,13 Apr 2023,18:34
kayuki,1505,188.00,100.00%,191.20,93.06%,09 Apr 2023,19:58
vinnychu,1506,188.00,100.00%,188.00,91.38%,31 Mar 2023,20:22
ratchratch,1507,188.00,100.00%,188.00,89.15%,18 Mar 2023,20:22
paceyq,1508,188.00,100.00%,188.00,90.20%,16 Jan 2023,17:14
Eladrod,1509,188.00,100.00%,188.00,92.04%,28 Sep 2022,04:53
tyson,1510,188.00,100.00%,188.00,90.48%,27 Sep 2022,00:44
vanhypesale,1511,188.00,100.00%,188.00,89.40%,17 Sep 2022,22:15
Plexie,1512,188.00,100.00%,188.00,92.04%,19 Jul 2022,02:15
AndrewFS,1513,188.00,100.00%,188.00,85.51%,18 Mar 2022,00:50
Jandre,1514,188.00,100.00%,188.00,92.04%,27 Jan 2022,15:26
exstntlsm,1515,188.00,100.00%,188.00,89.93%,16 Oct 2021,21:11
midsomma,1516,188.00,100.00%,188.00,93.55%,28 Aug 2021,08:04
merl1nnnn,1517,188.00,99.58%,189.60,89.61%,13 Jul 2023,08:41
cottage,1518,188.00,99.58%,188.00,89.25%,16 Oct 2022,18:59
xxcrunchy,1519,188.00,99.58%,191.20,89.89%,22 Mar 2022,19:51
kaixuan,1520,188.00,99.58%,192.00,90.87%,16 Oct 2021,01:01
Inkatanka,1521,188.00,99.17%,192.00,92.09%,08 Dec 2021,08:04
ritikmishra,1522,188.00,99.16%,188.00,87.51%,31 Dec 2022,22:48
smashgod11,1523,188.00,98.76%,192.80,90.23%,28 Sep 2023,01:48
knook,1524,188.00,98.76%,192.80,87.46%,04 Mar 2023,19:24
SilaC1234,1525,188.00,98.76%,192.80,89.23%,24 Aug 2022,20:46
Nathan_,1526,188.00,98.75%,192.00,92.78%,31 Dec 2022,02:08
ScorpioZen,1527,188.00,98.75%,192.00,90.05%,29 Aug 2021,07:31
Injata,1528,188.00,98.37%,196.80,86.13%,20 Apr 2023,11:29
0TicTac0,1529,188.00,98.34%,191.20,42.19%,20 May 2022,02:14
retailworker,1530,188.00,97.92%,188.00,85.93%,25 May 2023,02:46
ItsMeThatGuy,1531,188.00,97.57%,197.60,89.87%,16 Jan 2022,18:16
RhombusSystems,1532,188.00,97.52%,193.60,90.43%,06 Aug 2022,15:28
dhemagician,1533,188.00,93.23%,212.80,91.64%,04 Aug 2022,09:34
uglyoholioh,1534,187.99,100.00%,187.99,91.70%,13 May 2021,05:56
Sk8erEid,1535,187.99,98.74%,191.19,88.21%,25 Feb 2021,20:09
Chaicow,1536,187.98,98.00%,199.97,89.34%,20 Dec 2023,03:49
elliotkoh,1537,187.97,100.00%,187.97,90.48%,28 Oct 2023,07:10
Yure1,1538,187.97,100.00%,187.97,86.68%,01 Aug 2023,18:26
DandelionOoze,1539,187.97,99.58%,188.77,85.98%,22 Nov 2023,04:26
Otherpinoy,1540,187.97,99.17%,192.77,83.70%,10 Mar 2021,19:44
turtlesop,1541,187.97,96.77%,195.97,76.43%,22 Dec 2023,03:19
aehzin,1542,187.97,94.49%,203.17,92.70%,09 Nov 2023,11:59
Crryo2,1543,187.96,100.00%,187.96,88.42%,08 Dec 2023,15:15
sneezeallday,1544,187.96,100.00%,187.96,91.70%,18 Nov 2020,16:16
angelinafeng,1545,187.96,98.75%,191.96,90.32%,18 Oct 2023,14:52
LazySerg,1546,187.96,93.82%,207.15,90.43%,11 Dec 2023,15:58
isotypes,1547,187.95,97.18%,198.35,92.39%,13 Aug 2023,05:32
noctnight,1548,187.95,94.88%,203.14,86.80%,16 Sep 2023,23:23
Althras,1549,187.94,100.00%,187.94,89.93%,28 Nov 2023,07:50
jeremyy,1550,187.94,100.00%,187.94,92.04%,22 Aug 2023,20:59
jeremyy,1550,187.94,100.00%,187.94,92.04%,22 Aug 2023,20:59
aidenplayssss,1551,187.94,98.76%,193.54,91.88%,20 Sep 2023,18:30
Danidan124,1552,187.94,98.36%,195.13,88.67%,07 Sep 2023,07:08
sid081205,1553,187.91,100.00%,187.91,93.55%,17 Dec 2023,04:14
AidanCS,1554,187.91,100.00%,187.91,88.66%,30 Nov 2020,21:37
nevertheless12,1555,187.91,99.16%,191.11,91.91%,07 Sep 2023,23:38
VIXONTOP,1556,187.90,100.00%,187.90,91.70%,13 Nov 2023,18:24
EdgyMilk7,1557,187.90,100.00%,187.90,90.77%,03 Oct 2023,23:22
SteinwayThor,1558,187.90,100.00%,187.90,91.38%,11 Aug 2023,22:26
avi_a,1559,187.90,100.00%,187.90,90.48%,28 May 2021,15:24
aidmath,1560,187.89,98.75%,191.89,87.71%,29 Nov 2023,10:28
northh,1561,187.89,96.03%,201.48,92.10%,06 Oct 2023,13:20
iamhungry216,1562,187.88,100.00%,187.88,88.66%,31 Oct 2023,00:02
mattinpeikari,1563,187.87,100.00%,187.87,89.93%,24 May 2023,17:26
Jzwhale,1564,187.87,100.00%,187.87,91.70%,02 May 2023,15:53
cameroncameron,1565,187.87,100.00%,187.87,91.07%,01 May 2023,22:09
FlamingDog,1566,187.87,100.00%,187.87,93.55%,23 Apr 2023,04:56
consune,1567,187.87,100.00%,187.87,91.70%,04 Apr 2023,21:55
9000dett,1568,187.87,100.00%,187.87,93.14%,10 Feb 2023,19:35
TaLc,1569,187.87,100.00%,187.87,91.70%,14 Dec 2022,22:18
DankAlzein,1570,187.87,100.00%,187.87,85.51%,22 Nov 2022,04:12
ellliej,1571,187.87,100.00%,187.87,88.42%,17 Nov 2022,22:08
elliasc04,1572,187.87,100.00%,187.87,86.88%,01 Nov 2022,22:28
RJ,1573,187.87,100.00%,187.87,88.42%,03 Sep 2022,22:46
NotTie,1574,187.87,100.00%,187.87,91.70%,26 Aug 2022,21:09
elmer100,1575,187.87,100.00%,187.87,91.07%,29 Sep 2021,23:26
PetitDogas,1576,187.87,99.17%,191.87,90.59%,18 May 2023,15:52
midgetoncrack,1577,187.87,99.17%,193.47,90.98%,17 Jun 2022,04:31
linaria.tk,1578,187.87,98.75%,191.87,90.32%,07 Jun 2022,17:19
jadjad,1579,187.87,98.74%,191.07,89.63%,27 Sep 2021,01:55
377charlie,1580,187.87,98.33%,187.87,91.28%,07 Nov 2023,22:35
danielsuh01,1581,187.87,98.33%,191.87,91.46%,22 Feb 2023,17:32
miitard,1582,187.87,97.98%,195.87,86.91%,30 Nov 2022,07:28
toiletmilk,1583,187.87,97.14%,195.87,89.36%,07 Apr 2022,14:37
daeraser,1584,187.87,96.37%,198.27,88.77%,19 Oct 2021,03:40
Runbao,1585,187.87,95.98%,199.07,90.21%,21 Sep 2022,03:16
XYuchen,1586,187.87,95.29%,202.27,88.63%,23 Jan 2023,17:43
irfy2k,1587,187.87,90.11%,218.25,63.01%,12 Jun 2023,06:38
klnx,1588,187.86,99.58%,188.66,90.03%,31 Aug 2023,13:30
secondshoes,1589,187.84,100.00%,187.84,88.90%,11 Dec 2023,15:04
Setting,1590,187.82,99.58%,187.82,90.30%,05 Aug 2023,02:23
bergiusknickroid,1591,187.75,100.00%,187.75,88.42%,03 Jun 2023,18:29
Akronox,1592,187.75,100.00%,187.75,87.96%,22 May 2023,13:26
JunL,1593,187.75,100.00%,187.75,88.66%,20 Feb 2023,16:35
GDM,1594,187.62,100.00%,187.62,78.55%,28 Jun 2023,15:33
captaineleven1,1595,187.45,100.00%,187.45,92.75%,04 Jun 2021,21:34
Kronenbourg,1596,187.20,100.00%,187.20,88.58%,01 Jul 2023,02:01
ChicknDaisuki,1597,187.20,100.00%,187.20,88.82%,23 Jun 2023,08:43
Daniel3131,1598,187.20,100.00%,187.20,87.22%,17 May 2023,02:21
lush,1599,187.20,100.00%,187.20,91.96%,19 Apr 2023,23:53
Aziron,1600,187.20,100.00%,187.20,90.12%,17 Apr 2023,00:59
Aziron,1600,187.20,100.00%,187.20,90.12%,17 Apr 2023,00:59
danshy,1601,187.20,100.00%,187.20,83.32%,17 Mar 2023,11:29
DestroyPeace,1602,187.20,100.00%,187.20,90.12%,24 Feb 2023,08:32
vril11,1603,187.20,100.00%,187.20,87.88%,08 Feb 2023,16:52
cameronvdang,1604,187.20,100.00%,187.20,90.12%,18 Dec 2022,21:23
ScoogimanJoe,1605,187.20,100.00%,187.20,90.12%,14 Nov 2022,00:08
ar223,1606,187.20,100.00%,187.20,82.20%,25 Sep 2022,16:06
winturs,1607,187.20,100.00%,187.20,88.34%,14 Sep 2022,14:28
loboru,1608,187.20,100.00%,187.20,89.85%,16 Nov 2021,17:17
DanielCantType,1609,187.20,100.00%,187.20,47.61%,15 Nov 2021,21:14
64bitpandas,1610,187.20,100.00%,187.20,89.58%,22 Apr 2021,19:56
ashflayer,1611,187.20,99.58%,187.20,82.87%,17 Nov 2022,17:44
foxdensys,1612,187.20,99.57%,187.20,90.48%,03 Feb 2023,21:04
kevha_,1613,187.20,99.57%,187.20,85.51%,29 Mar 2022,22:18
naefkb,1614,187.20,99.17%,192.00,85.39%,05 Jun 2023,15:02
10freakyfingies,1615,187.20,99.15%,187.20,85.42%,14 Sep 2022,20:03
szh,1616,187.20,98.75%,192.00,90.59%,09 Jun 2022,22:12
wassim.omais,1617,187.20,98.74%,190.40,88.52%,17 Jun 2023,10:37
monkeywth,1618,187.20,98.36%,195.20,90.89%,11 Jul 2023,16:32
jerrdeh,1619,187.20,97.96%,196.00,90.09%,29 Mar 2023,14:08
nhatltm,1620,187.20,90.04%,216.80,52.61%,26 Aug 2022,23:04
oridagoat,1621,187.19,100.00%,187.19,87.01%,15 Nov 2023,20:34
michelepip,1622,187.19,100.00%,187.19,89.32%,10 Oct 2023,05:10
patioprayer,1623,187.19,100.00%,187.19,90.70%,22 Sep 2023,17:16
OOREOO,1624,187.19,100.00%,187.19,93.46%,27 Aug 2023,16:38
humptyhump,1625,187.19,100.00%,187.19,91.30%,25 Feb 2021,14:44
celeres,1626,187.19,100.00%,187.19,93.06%,06 Nov 2020,16:38
MasterBlockMod,1627,187.19,99.57%,187.19,88.42%,06 Nov 2023,21:37
Strik4r,1628,187.19,99.15%,187.19,89.25%,25 May 2021,20:14
ahurpdurp,1629,187.18,100.00%,187.18,88.58%,23 Jun 2021,13:58
DysaniaTypes,1630,187.18,99.16%,190.38,93.15%,30 Mar 2021,20:27
ken,1631,187.17,100.00%,187.17,90.12%,03 Dec 2020,18:57
ioannis,1632,187.17,98.74%,191.17,90.70%,08 Dec 2023,08:05
zxcvd299,1633,187.17,98.35%,194.37,88.46%,14 Sep 2023,13:31
whatsupchat,1634,187.17,97.18%,198.37,87.53%,09 Nov 2023,08:39
kanekane,1635,187.16,100.00%,187.16,90.12%,10 Dec 2023,08:18
alextan12,1636,187.16,100.00%,187.16,86.59%,03 Dec 2023,00:40
kristenangelique,1637,187.16,100.00%,187.16,88.34%,24 Oct 2023,21:40
haerinfan,1638,187.16,100.00%,187.16,91.00%,10 Oct 2023,05:48
snowmelt,1639,187.16,96.81%,200.75,87.19%,08 Sep 2023,19:39
AtriOmar,1640,187.15,100.00%,187.15,87.22%,09 Dec 2023,09:51
ydem2nir9tag,1641,187.15,99.57%,187.15,87.96%,11 Oct 2023,16:33
Icharaku,1642,187.15,99.16%,189.55,89.11%,28 Nov 2023,10:44
POOP_MONSTUH_,1643,187.15,98.75%,191.94,86.31%,25 Aug 2023,10:36
henryv70,1644,187.14,96.72%,195.13,85.20%,02 Sep 2023,22:14
GORILLAERPED,1645,187.14,96.05%,190.34,86.86%,21 Nov 2023,21:09
nicol2311,1646,187.13,98.75%,191.92,90.59%,19 Nov 2020,08:26
limen,1647,187.11,96.43%,201.50,87.48%,17 Mar 2021,11:47
eldrest,1648,187.10,100.00%,187.10,90.70%,15 Dec 2023,13:44
1sun12,1649,187.09,100.00%,187.09,90.12%,30 Nov 2023,14:16
macieh,1650,187.08,100.00%,187.08,92.31%,22 Jul 2023,16:28
macieh,1650,187.08,100.00%,187.08,92.31%,22 Jul 2023,16:28
mahagsetty,1651,187.08,100.00%,187.08,87.22%,03 Jul 2023,01:22
quinixod,1652,187.08,100.00%,187.08,87.66%,09 Mar 2023,16:34
navarra,1653,187.08,100.00%,187.08,92.67%,03 Mar 2023,01:26
Madvic,1654,187.08,100.00%,187.08,89.85%,22 Dec 2022,04:59
siglemic,1655,187.08,100.00%,187.08,90.12%,22 Sep 2022,11:40
samuelili,1656,187.08,100.00%,187.08,91.00%,20 Oct 2021,04:00
Jrboyz,1657,187.08,99.57%,187.87,92.39%,28 Feb 2023,13:48
100wpmdefeater,1658,187.08,99.57%,187.08,80.41%,16 Feb 2023,23:07
Creamation,1659,187.08,99.57%,187.08,87.74%,24 Jan 2022,15:48
dororororor0,1660,187.08,98.75%,191.87,92.78%,06 Sep 2022,23:44
sluggthesnail,1661,187.08,98.74%,191.07,90.70%,15 Nov 2021,20:11
goblyn,1662,187.08,98.34%,192.67,87.46%,27 Oct 2021,19:17
JuliusElSanwich,1663,187.08,97.91%,191.07,88.43%,17 Jul 2023,19:54
starin,1664,187.08,97.54%,195.07,91.17%,02 May 2023,23:14
Exothermic,1665,187.08,97.52%,193.47,92.20%,11 Nov 2022,19:03
Granto,1666,187.06,100.00%,187.06,87.88%,24 Sep 2023,23:50
berg,1667,187.03,100.00%,187.03,93.06%,15 Oct 2023,13:03
Tendo,1668,187.01,100.00%,187.01,85.99%,10 Aug 2023,17:07
brothabrun,1669,186.95,100.00%,186.95,91.00%,05 Jun 2023,18:22
0shamu,1670,186.95,100.00%,186.95,83.65%,22 Sep 2022,08:41
hus_the_bus,1671,186.95,99.58%,190.15,84.76%,17 Jan 2023,16:40
DavidGTZ,1672,186.95,98.76%,193.34,91.57%,01 Jan 2023,20:40
waterm3lon,1673,186.95,97.59%,198.93,88.20%,07 Jan 2022,13:11
dreamxjei,1674,186.90,100.00%,186.90,90.70%,01 Apr 2021,00:31
karlb,1675,186.83,100.00%,186.83,37.32%,08 Feb 2022,08:04
lorence_,1676,186.81,98.33%,190.80,91.91%,17 Dec 2023,21:33
JuliusTheTyper,1677,186.70,100.00%,186.70,83.82%,30 Mar 2023,11:02
caleb123456,1678,186.40,100.00%,186.40,90.94%,10 Jul 2023,05:25
luciascarlet,1679,186.40,100.00%,186.40,91.57%,29 Jun 2023,16:03
YkoTheTypo,1680,186.40,100.00%,186.40,86.73%,06 Jun 2023,07:15
Eric022,1681,186.40,100.00%,186.40,90.64%,01 Jun 2023,14:45
Suppr3ss3d,1682,186.40,100.00%,186.40,90.94%,19 May 2023,13:29
stinny,1683,186.40,100.00%,186.40,90.64%,05 May 2023,03:11
awelotta,1684,186.40,100.00%,186.40,91.25%,03 May 2023,17:41
Hadge,1685,186.40,100.00%,186.40,93.41%,26 Apr 2023,16:12
WhatXD,1686,186.40,100.00%,186.40,93.00%,21 Apr 2023,00:01
Goguma,1687,186.40,100.00%,186.40,91.90%,14 Mar 2023,01:20
weian,1688,186.40,100.00%,186.40,93.41%,22 Sep 2022,15:03
azroe,1689,186.40,100.00%,186.40,92.25%,03 Jul 2022,00:12
AdamzCyber,1690,186.40,100.00%,186.40,83.40%,24 Oct 2021,11:09
sipoficejuice,1691,186.40,99.15%,186.40,86.08%,15 May 2023,10:58
Vib,1692,186.40,99.15%,186.40,78.55%,08 Mar 2023,12:17
adrianixx,1693,186.40,99.15%,186.40,79.07%,22 Jun 2022,17:31
petike0707,1694,186.40,99.15%,186.40,86.68%,01 May 2022,05:44
BotGoodMeme,1695,186.40,98.75%,191.18,78.47%,27 Apr 2021,13:43
kcza_strombol,1696,186.40,98.74%,190.40,85.47%,07 Jun 2022,16:10
BigFatSheep,1697,186.40,98.34%,192.80,89.97%,20 Dec 2022,18:32
jessliuu,1698,186.40,97.95%,195.20,90.35%,22 Jul 2022,00:19
RadioActiV,1699,186.40,97.91%,191.20,90.70%,21 May 2023,17:51
arman,1700,186.40,96.77%,198.40,88.34%,13 May 2022,13:47
arman,1700,186.40,96.77%,198.40,88.34%,13 May 2022,13:47
jalabeano,1701,186.40,95.98%,199.20,87.79%,23 Aug 2022,20:05
-laconic-,1702,186.40,95.62%,200.80,91.70%,11 Dec 2022,19:49
Hxzard,1703,186.40,95.44%,210.40,89.83%,29 Apr 2023,08:43
Aphit,1704,186.40,91.25%,186.40,69.62%,04 Apr 2022,15:05
SalmanMKC,1705,186.39,100.00%,186.39,92.25%,19 Aug 2023,07:44
lucageorge,1706,186.39,100.00%,186.39,88.04%,05 Jan 2021,21:00
hyper_,1707,186.39,98.75%,191.99,87.09%,26 Sep 2023,23:44
anowouwu,1708,186.39,98.74%,191.19,89.14%,12 Nov 2023,17:39
asphyy,1709,186.39,98.37%,195.99,89.12%,28 Nov 2023,08:25
aznduck,1710,186.39,98.33%,191.99,92.09%,24 Sep 2023,23:54
djjs,1711,186.38,100.00%,186.38,93.00%,06 Sep 2023,10:07
Thictionary,1712,186.38,97.54%,195.18,94.75%,18 Sep 2023,15:49
andrx,1713,186.37,100.00%,186.37,89.52%,25 Sep 2023,21:54
hkubus,1714,186.37,100.00%,186.37,88.76%,21 Sep 2023,09:16
Fasutorui,1715,186.37,100.00%,186.37,90.64%,05 Dec 2020,02:08
ItsDash,1716,186.37,97.51%,192.76,85.02%,17 Dec 2023,19:58
SomeAsianKid,1717,186.37,95.22%,200.77,92.94%,22 Oct 2023,14:29
cavern,1718,186.36,100.00%,186.36,73.01%,16 Oct 2023,03:25
GenericnameBot,1719,186.36,100.00%,186.36,91.57%,12 Aug 2023,22:21
serot0nin,1720,186.36,100.00%,186.36,89.52%,21 Jun 2021,15:25
Streakwind,1721,186.36,98.74%,190.36,92.41%,04 Dec 2023,23:13
Hadouken47,1722,186.36,98.74%,190.36,91.13%,20 Oct 2023,08:32
crqmson,1723,186.36,98.74%,190.36,89.24%,18 Oct 2023,15:23
MerelyAFeris,1724,186.36,97.11%,190.36,83.70%,12 Mar 2021,11:02
PengwinsFly,1725,186.35,98.74%,190.35,93.55%,30 Mar 2021,14:23
prestinol,1726,186.35,98.74%,190.35,90.83%,28 Feb 2021,10:30
XGamin1,1727,186.32,100.00%,186.32,81.96%,19 Oct 2023,15:40
3mran,1728,186.32,99.17%,191.92,89.06%,29 Mar 2021,09:18
arex,1729,186.31,100.00%,186.31,91.25%,16 Nov 2023,13:46
lushi,1730,186.31,100.00%,186.31,90.35%,14 Sep 2023,16:12
idw103,1731,186.31,99.57%,186.31,85.42%,18 Apr 2021,15:24
notdondon,1732,186.30,100.00%,186.30,91.57%,27 Feb 2021,15:13
dogjuicee13,1733,186.29,100.00%,186.29,90.35%,27 Nov 2023,13:35
Jeffrin,1734,186.29,99.15%,186.29,87.31%,16 Oct 2023,20:04
nerdgaming68,1735,186.29,93.08%,207.08,85.61%,04 Dec 2023,14:57
churgus1,1736,186.28,100.00%,186.28,90.64%,13 Aug 2023,19:45
rchrd_,1737,186.28,100.00%,186.28,93.84%,09 Apr 2023,01:33
jliang14,1738,186.28,100.00%,186.28,91.57%,10 Jan 2023,22:52
Tensai10,1739,186.28,100.00%,186.28,91.57%,07 Dec 2022,01:33
Joddough,1740,186.28,100.00%,186.28,83.23%,08 Nov 2022,15:06
Pixelkeyboards,1741,186.28,100.00%,186.28,88.76%,15 Oct 2022,12:44
viccasz_,1742,186.28,100.00%,186.28,88.52%,10 Sep 2022,01:50
Cufu,1743,186.28,100.00%,186.28,94.31%,28 Oct 2021,14:02
jbothy,1744,186.28,98.73%,186.28,75.39%,16 Mar 2022,19:48
MelonAdi,1745,186.28,98.73%,188.67,89.50%,24 Sep 2021,13:54
terrace2fast,1746,186.28,97.55%,195.87,90.87%,06 Apr 2023,13:19
dim1337,1747,186.28,97.54%,195.07,88.67%,22 Aug 2022,03:19
